token,freq
맛있어,5
맛있었어요,5
맛있지만,5
맛집추천,5
매번,5
매월,5
매장에서,5
매주,5
맥주,5
먹방,5
먹어,5
메뉴도,5
메뉴입니다,5
멕시칸,5
명란,5
모음,5
몸에,5
무조건,5
무화과는,5
문자,5
물론,5
물씬,5
물에,5
미국식,5
미니버거,5
민생회복,5
밥상,5
밸런스,5
버무려,5
벌써,5
변경,5
보내고,5
보내십시오,5
보니,5
복숭아샐러드,5
부담,5
부모님,5
브레이크타임,5
브리치즈,5
블로그,5
비가,5
사과계의,5
사전,5
산뜻하게,5
산뜻한,5
상반기,5
상큼해서,5
샐러드도,5
샐러드추천,5
생일,5
석식메뉴도,5
선택하는,5
설명서,5
세트가,5
소스도,5
소중한,5
속이,5
손질한,5
시간이,5
시원하게,5
시작,5
식판샷,5
신메뉴가,5
신선함,5
싶을,5
썰어,5
씨를,5
아니라,5
아시죠,5
아직,5
아침메뉴,5
아침을,5
알차게,5
얇은,5
어느,5
없고,5
엑스트라버진,5
여기,5
여름,5
여름에는,5
여전히,5
예약주문,5
오늘의저녁,5
오늘점심,5
올리브오일을,5
올리브오일추천,5
올리브유를,5
우유,5
운영,5
원래,5
원하시는,5
월요일,5
유명한,5
이름이,5
이상,5
이상의,5
이용가능,5
익숙한,5
인스타그램에서,5
인원부터,5
일반,5
일부터,5
일상기록,5
일찍,5
입안,5
있을,5
있음,5
재미가,5
저도,5
적당히,5
전남,5
전문업체,5
전화,5
점심메뉴입니다,5
점심으로,5
제법,5
조합으로,5
조합은,5
좋더라구요,5
죠샌드위치샐러드여주점여주죠샌드위치감사합니다,5
주문은,5
주차장,5
준다,5
준비,5
즐겁게,5
즐겨보세요,5
진심,5
질문이나,5
집밥스타그램,5
집밥요리,5
쫀득,5
찍어,5
참깨,5
채소가,5
채소를,5
채썰고,5
채우고,5
처음,5
첫째,5
청양고추,5
초간단,5
촉촉하고,5
최근에,5
치즈의,5
콥샐러드,5
크래미,5
크림치즈,5
클래식,5
탁월한,5
토종,5
통해,5
티스푼,5
파스타면,5
페스토,5
푸디스퀘어를,5
품종,5
