토큰A,토큰B,co,dfA,dfB,cosine,jaccard,pmi,npmi
직장인,블랙,4,22,4,0.4264014326657663,0.18181818180991735,1.471305718925589,0.374307818755913
점심,지방,3,20,3,0.3872983345707417,0.1499999999925,1.6088092426755243,0.3702007819265479
다이어트,컨슈머,3,20,3,0.3872983345707417,0.1499999999925,1.6088092426755243,0.3702007819265479
다이어트,지방,3,20,3,0.3872983345707417,0.1499999999925,1.6088092426755243,0.3702007819265479
점심,컨슈머,3,20,3,0.3872983345707417,0.1499999999925,1.6088092426755243,0.3702007819265479
배달,포켓,28,45,29,0.7750911452801172,0.6086956521606806,0.38825816816324366,0.3456153156791318
직장인,컨슈머,3,22,3,0.3692744728925436,0.136363636357438,1.4713057189255891,0.33856004375846893
직장인,지방,3,22,3,0.3692744728925436,0.136363636357438,1.4713057189255891,0.33856004375846893
직장인,아침식사,5,22,6,0.4351941398513658,0.21739130433837428,1.2082713130917953,0.33481163227014976
아침,편의점,2,8,5,0.31622776596683794,0.18181818180165288,1.608809242675524,0.3262816760526753
포켓,다이어트,15,29,20,0.6228410988771876,0.44117647057525955,0.6577188431564707,0.32498451069537576
포켓,포케,6,29,6,0.45485882611285927,0.20689655171700358,1.0727563424353141,0.3206301663288109
직장인,아침,6,22,8,0.45226701683255455,0.24999999998958333,1.056268219646745,0.3157021231721073
다이어트식단,맛보기,2,14,3,0.30860669987656475,0.13333333332444444,1.5384199147841262,0.312006056997658
많다,단백질,5,14,10,0.42257712732854397,0.26315789472299167,1.123382415505282,0.31128894323946615
다이어트,블랙,3,20,4,0.33541019658746846,0.14285714285034012,1.1937717433966801,0.27469709964638844
점심,많다,8,20,14,0.478091443705186,0.3076923076804734,0.8014543206179199,0.27346508004855374
샐러드,포케,6,33,6,0.42640143268091785,0.1818181818126722,0.8863432182044327,0.26491418622811547
많다,아침식사,3,14,6,0.3273268353182743,0.1764705882249135,1.1233824155052823,0.25849991260055594
포켓,맛보기,3,29,3,0.32163376041685565,0.10344827585850179,1.0727563424353141,0.2468504197090281
배달,그린,21,45,22,0.6674238124507025,0.4565217391205104,0.3717700453746746,0.24165706761982608
배달,샐러드,29,45,33,0.7525489793366104,0.5918367346817993,0.25247111700232994,0.23534805343511975
샐러드,다이어트,15,33,20,0.583874208098415,0.39473684209487536,0.47130571892558887,0.23287619025463513
아침,반찬,2,8,7,0.2672612418767101,0.15384615383431952,1.123382415505282,0.22783254077381782
아침,단백,2,8,7,0.2672612418767101,0.15384615383431952,1.123382415505282,0.22783254077381782
배달,다이어트,19,45,20,0.6333333333122222,0.4130434782518904,0.3648836597894349,0.21683000334300812
점심,가슴,2,20,3,0.25819888971382776,0.0952380952335601,1.023846741954368,0.20764576813990754
샐러드,맛보기,3,33,3,0.3015113445474606,0.0909090909063361,0.8863432182044327,0.2039551636891934
배달,가지,13,45,13,0.5374838498643478,0.28888888888246916,0.4388842412332114,0.19678281383225993
직장인,가슴,2,22,3,0.2461829819283624,0.08695652173534972,0.886343218204433,0.17975875767142882
그린,다이어트식단,7,22,14,0.39886201758600554,0.24137931033650417,0.47130571892558915,0.150895937873603
배달,다이어트식단,13,45,14,0.5179323973576023,0.28260869564603025,0.33196903731669936,0.14884517403680075
배달,포케,6,45,6,0.36514837164788855,0.13333333333037037,0.4388842412332114,0.1311756656187598
