토큰A,토큰B,co,dfA,dfB,cosine,jaccard,pmi,npmi
세종,패키지,2,5,4,0.4472135953999579,0.2857142856734694,1.632268215499513,0.41279392507950957
새벽,부산,3,12,3,0.49999999991666666,0.24999999997916666,1.369233809665719,0.4063932297419182
새벽,양산,3,12,3,0.49999999991666666,0.24999999997916666,1.369233809665719,0.4063932297419182
새벽,정기권,3,12,3,0.49999999991666666,0.24999999997916666,1.369233809665719,0.4063932297419182
새벽,구역,3,12,3,0.49999999991666666,0.24999999997916666,1.369233809665719,0.4063932297419182
새벽,월수,2,12,2,0.40824829038052973,0.16666666665277777,1.369233809665719,0.34627360459292783
야채,코스,2,5,5,0.39999999992,0.24999999996875,1.3103401206121505,0.3313796326121067
배달,데이,4,16,4,0.4999999999375,0.249999999984375,0.9541963103868754,0.322996920357644
배달,단백,3,16,3,0.43301270182971935,0.18749999998828126,0.9541963103868752,0.2832086950004655
배달,아침,3,16,3,0.43301270182971935,0.18749999998828126,0.9541963103868752,0.2832086950004655
배달,식스,3,16,3,0.43301270182971935,0.18749999998828126,0.9541963103868752,0.2832086950004655
배달,정기권,3,16,3,0.43301270182971935,0.18749999998828126,0.9541963103868752,0.2832086950004655
배달,포켓,2,16,2,0.3535533905307737,0.1249999999921875,0.9541963103868754,0.24131232632036864
배달,그린,2,16,2,0.3535533905307737,0.1249999999921875,0.9541963103868754,0.24131232632036864
배달,포케,2,16,2,0.3535533905307737,0.1249999999921875,0.9541963103868754,0.24131232632036864
배달,가슴,2,16,2,0.3535533905307737,0.1249999999921875,0.9541963103868754,0.24131232632036864
배달,점심,2,16,2,0.3535533905307737,0.1249999999921875,0.9541963103868754,0.24131232632036864
샐러드,새벽,12,25,12,0.6928203229875508,0.4799999999808,0.3103401206121505,0.22665239378504395
배달,직장인,4,16,5,0.4472135954499579,0.235294117633218,0.632268215499513,0.21402376452657354
새벽,계룡,2,12,3,0.33333333327777775,0.15384615383431952,0.784271308944563,0.1983389916389433
새벽,세종,3,12,5,0.3872983345707417,0.21428571427040816,0.632268215499513,0.18765934666975334
배달,패키지,3,16,4,0.374999999953125,0.1764705882249135,0.5391588111080317,0.16002416025901292
샐러드,야채,5,25,5,0.4472135954599579,0.199999999992,0.3103401206121505,0.11789836566987485
샐러드,코스,5,25,5,0.4472135954599579,0.199999999992,0.3103401206121505,0.11789836566987485
샐러드,천안,5,25,5,0.4472135954599579,0.199999999992,0.3103401206121505,0.11789836566987485
샐러드,세종,5,25,5,0.4472135954599579,0.199999999992,0.3103401206121505,0.11789836566987485
샐러드,대전,4,25,4,0.39999999996,0.1599999999936,0.3103401206121505,0.10505060869550305
샐러드,아산,4,25,4,0.39999999996,0.1599999999936,0.3103401206121505,0.10505060869550305
샐러드,패키지,4,25,4,0.39999999996,0.1599999999936,0.3103401206121505,0.10505060869550305
샐러드,데이,4,25,4,0.39999999996,0.1599999999936,0.3103401206121505,0.10505060869550305
배달,계룡,2,16,3,0.28867513455314625,0.117647058816609,0.3692338096657191,0.09337771336638408
새벽,대전,2,12,4,0.28867513455314625,0.14285714284693876,0.3692338096657191,0.09337771336638408
샐러드,양산,3,25,3,0.3464101614737754,0.1199999999952,0.3103401206121505,0.09210999833904109
샐러드,피안,3,25,3,0.3464101614737754,0.1199999999952,0.3103401206121505,0.09210999833904109
샐러드,구역,3,25,3,0.3464101614737754,0.1199999999952,0.3103401206121505,0.09210999833904109
샐러드,유러,3,25,3,0.3464101614737754,0.1199999999952,0.3103401206121505,0.09210999833904109
샐러드,부산,3,25,3,0.3464101614737754,0.1199999999952,0.3103401206121505,0.09210999833904109
샐러드,정기권,3,25,3,0.3464101614737754,0.1199999999952,0.3103401206121505,0.09210999833904109
샐러드,계룡,3,25,3,0.3464101614737754,0.1199999999952,0.3103401206121505,0.09210999833904109
샐러드,포켓,2,25,2,0.282842712434619,0.0799999999968,0.3103401206121505,0.0784837413855629
샐러드,그린,2,25,2,0.282842712434619,0.0799999999968,0.3103401206121505,0.0784837413855629
샐러드,포케,2,25,2,0.282842712434619,0.0799999999968,0.3103401206121505,0.0784837413855629
샐러드,가슴,2,25,2,0.282842712434619,0.0799999999968,0.3103401206121505,0.0784837413855629
샐러드,월수,2,25,2,0.282842712434619,0.0799999999968,0.3103401206121505,0.0784837413855629
배달,야채,3,16,5,0.33541019658746846,0.1666666666574074,0.2172307162206689,0.06447481192830057
배달,세종,3,16,5,0.33541019658746846,0.1666666666574074,0.2172307162206689,0.06447481192830057
배달,단백질,3,16,5,0.33541019658746846,0.1666666666574074,0.2172307162206689,0.06447481192830057
새벽,코스,2,12,5,0.25819888971382776,0.13333333332444444,0.04730571477835682,0.011963420898981232
배달,다이어트,2,16,4,0.24999999996875,0.11111111110493826,-0.04580368961312463,-0.01158356490617514
배달,대전,2,16,4,0.24999999996875,0.11111111110493826,-0.04580368961312463,-0.01158356490617514
배달,새벽,6,16,12,0.43301270186096935,0.272727272714876,-0.04580368961312479,-0.019332701325745195
샐러드,아침,2,25,3,0.2309401076491836,0.07692307692011835,-0.2746223801090057,-0.06945087156842167
배달,샐러드,12,16,25,0.59999999997,0.41379310343400716,-0.10469737866669324,-0.07646420788590794
샐러드,다이어트,2,25,4,0.19999999998,0.07407407407133058,-0.6896598793878495,-0.17441214984098088
