토큰A,토큰B,B1,B2,차이(B1-B2)
직장인,단백,0.47106166431034674,0.781266116927835,-0.31020445261748825
배달,데이,0.0,0.322996920357644,-0.322996920357644
야채,코스,0.0,0.3313796326121067,-0.3313796326121067
새벽,월수,0.0,0.34627360459292783,-0.34627360459292783
많다,단백질,0.31128894323946615,0.6656898163060533,-0.35440087306658713
배달,직장인,-0.14352688021340476,0.21402376452657354,-0.35755064473997833
점심,아침,0.45340722855546645,0.8520653870460154,-0.398658158490549
새벽,양산,0.0,0.4063932297419182,-0.4063932297419182
새벽,구역,0.0,0.4063932297419182,-0.4063932297419182
새벽,부산,0.0,0.4063932297419182,-0.4063932297419182
새벽,정기권,0.0,0.4063932297419182,-0.4063932297419182
세종,패키지,0.0,0.41279392507950957,-0.41279392507950957
포켓,점심,-0.456153227899125,0.0,-0.456153227899125
새벽,패키지,0.0,0.4634877529470637,-0.4634877529470637
새벽,데이,0.0,0.4634877529470637,-0.4634877529470637
샐러드,점심,-0.493959566275896,0.0,-0.493959566275896
대전,패키지,0.0,0.4942082175469124,-0.4942082175469124
데이,패키지,0.0,0.4942082175469124,-0.4942082175469124
아침,야채,0.0,0.5177552033520688,-0.5177552033520688
코스,피안,0.0,0.5177552033520688,-0.5177552033520688
코스,유러,0.0,0.5177552033520688,-0.5177552033520688
직장인,다이어트,-0.1465010327568447,0.41279392507950957,-0.5592949578363543
패키지,정기권,0.0,0.5991694958194717,-0.5991694958194717
패키지,계룡,0.0,0.5991694958194717,-0.5991694958194717
포케,야채,0.0,0.6656898163060533,-0.6656898163060533
코스,월수,0.0,0.6656898163060533,-0.6656898163060533
직장인,식스,0.0,0.781266116927835,-0.781266116927835
야채,유러,0.0,0.781266116927835,-0.781266116927835
야채,피안,0.0,0.781266116927835,-0.781266116927835
세종,계룡,0.0,0.781266116927835,-0.781266116927835
단백질,식스,0.0,0.781266116927835,-0.781266116927835
단백질,단백,0.0,0.781266116927835,-0.781266116927835
아침,포케,0.0,0.8520653870460154,-0.8520653870460154
데이,정기권,0.0,0.8768154652585473,-0.8768154652585473
대전,계룡,0.0,0.8768154652585473,-0.8768154652585473
세종,대전,0.0,0.8910268441689294,-0.8910268441689294
천안,아산,0.0,0.8910268441689294,-0.8910268441689294
단백,식스,0.0,1.0,-1.0
구역,양산,0.0,1.0,-1.0
부산,구역,0.0,1.0,-1.0
부산,양산,0.0,1.0,-1.0
유러,피안,0.0,1.0,-1.0
