term,weighted_tf,core_score
아연,23.567065173263085,0.14212525935678952
일단,33.430990289955496,0.14186580087937026
식품,30.5437048714695,0.14062754395187943
조카,24.861075075495187,0.13843540981307828
이용,24.804443773464456,0.1382602454531398
개인,24.568268938848547,0.13752974108090021
타입,26.83750481352617,0.13685632992255564
환절기,31.80912938235807,0.1368492779035368
대비,36.59282169019334,0.13626093898082997
의견,21.421822458065176,0.13548988185979338
신경,26.196416954375692,0.13487340280476698
일주일,28.5345821916991,0.1344131947206209
귀엽다,25.979718821001576,0.1342031411566816
바쁘다,23.481615726313056,0.13416865087771948
임신,38.13972963494517,0.13335331979664006
지금,33.14425717878981,0.1332866087240628
덜하다,25.616404073850543,0.13307938463230606
염증,32.946681267435004,0.13267549337246903
아프다,22.833487037261,0.13216394600771747
콤달콤,22.796626318401493,0.13204993336816356
의사,27.745564667215522,0.13197271137129934
완전,27.735627275169506,0.13194197436093968
다양하다,25.143729488942085,0.1316173709021654
추가,22.637628558343287,0.13155814278815656
들어가다,30.01395112722965,0.13129667291726282
판매,29.3905313062868,0.12936839420932933
굿굿,21.833109845039566,0.12906971323734215
착하다,31.77531143684555,0.12905236907073406
지키다,23.981625475123245,0.1280229063840789
용이,28.522573681703747,0.1266837439132563
시럽,25.74398500767127,0.12578169320011778
야하다,27.776379250951393,0.12437571522301963
알다,30.054944617301132,0.12373116079900212
힘드다,24.593505306388103,0.12222318344895385
리포좀,26.537504497167184,0.12054379373244925
기한,28.71715380566743,0.11959328540415035
예민하다,23.657725102326957,0.11932875343216717
노력,21.153286857570208,0.11927466811535453
제도,26.00971357907196,0.11891130154112867
느껴지다,20.999465172390234,0.11879888747703218
이상,23.098238725824665,0.11759822509324365
나이,25.487211933051135,0.11729516941790169
허다,27.43727045591381,0.11563452161599236
은단,27.053143392166817,0.11444639122090144
만큼,21.923937398963275,0.1139660334797973
원료,26.682622447606036,0.11330034545168062
친구,28.970683974367095,0.11268516327941568
말씀,21.244125257983143,0.11186332959902538
서비스,21.153286857570208,0.11158236042304684
과립,21.021011421717382,0.11117322375788295
에너지,25.417063325612677,0.10938588744667198
원래,27.836541314528205,0.10917718507715243
청포도,25.239282225268852,0.10883599875377235
마침,22.61720989270416,0.10841806342894397
걱정,22.370360296787197,0.10765454131450625
낫다,24.66223355123764,0.10705114906790131
먼저,24.528184359957002,0.10663652605997187
최근,24.467277825903615,0.10644813812483764
넉넉하다,21.967070769780854,0.10640714015410876
피부,24.24905975751399,0.10577317521729694
생선,24.24905975751399,0.10577317521729694
종근당,21.55918954189456,0.10514553655942455
덥다,26.496085001194423,0.10503106510937954
최선,21.512660858478107,0.10500162026654114
두번째,31.13300556528631,0.1039887514831437
취향,20.91785547218381,0.10316184789610092
급하다,25.750533851488626,0.10272502612993425
손톱,23.07601123960314,0.10214485862473262
통째,25.53299580090929,0.1020521665624231
최고,23.029293216069572,0.10200035669035352
이제,23.007156534955932,0.10193188647265787
회사,22.314057094458743,0.09978808409632332
자고,22.281998368032955,0.09968892433673016
명절,22.18601337692888,0.09939203641560622
시원하다,27.017215467922462,0.09895064839212514
상태,24.039034258754455,0.09743124477676059
바라다,26.209679421135412,0.09645288602943153
작고,21.19289661794288,0.09632026064506946
뜯다,22.848011467776605,0.09374733256968201
로트,22.209838998804663,0.09177342294639343
여러가지,22.129374178239214,0.0915245399384721
말씀드리다,24.582527969388572,0.09141999905089236
속이다,21.576078574405678,0.08981316006856062
제로,22.26657496219991,0.08425660333854172
이틀,21.766715582698446,0.08271050524208437
심플,26.52872394842082,0.08205509645333266
여기,22.82325805547535,0.07828615324486815
약국,21.483620564249083,0.07414256594798971
