token1,token2,co_docs,PMI,NPMI,PHI,src_node_df,src_node_tf,src_node_cluster,src_node_centrality,src_node_svd_c1,src_node_rank,dst_node_df,dst_node_tf,dst_node_cluster,dst_node_centrality,dst_node_svd_c1,dst_node_rank
닭가슴살도시락,동물복지IFF큐브닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,3,14.112828877327424,0.7299769545473334,0.2326616654153842,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
단백질식단,근육,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,8,24.01867594722771,0.4625910363790372,0.8640637055986686,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
단백질식단,단백질함량,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,8,24.01867594722771,0.4625910363790372,0.8640637055986686,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
단백질식단,쉐이크도시락,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,8,24.01867594722771,0.4625910363790372,0.8640637055986686,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
큐브닭가슴살,닭가슴살레시피,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,3,14.612240696267518,0.7212570983596022,0.3265227600594875,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
단백질식단,냥집사,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,8,24.01867594722771,0.4625910363790372,0.8640637055986686,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
요리영상,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
요리영상,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
큐브닭가슴살,동물복지IFF큐브닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,3,14.612240696267518,0.7212570983596022,0.3265227600594875,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
밑반찬레시피,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
신혼,영양성분,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,8,23.777360231386666,0.4590024207701009,0.7825600191922111,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
신혼,추천메뉴,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,8,23.777360231386666,0.4590024207701009,0.7825600191922111,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
신혼,근육량늘리기,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,8,23.777360231386666,0.4590024207701009,0.7825600191922111,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
신혼,쉐이크도시락,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,8,23.777360231386666,0.4590024207701009,0.7825600191922111,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
신혼,단백질함량,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,8,23.777360231386666,0.4590024207701009,0.7825600191922111,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
신혼,근육,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,8,23.777360231386666,0.4590024207701009,0.7825600191922111,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
신혼,냥집사,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,8,23.777360231386666,0.4590024207701009,0.7825600191922111,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
닭요리,동물복지IFF큐브닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,3,14.112828877327424,0.612553526114295,0.17876733872437262,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
