token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
닭가슴살을,7,7,0,16.46758836155649,0.6397913956372779,0.14477127157931657
그래도,20,21,4,11.924989061203195,0.36051863368673936,0.1375166912023203
쿡스타그램,11,11,4,15.94564157531551,0.3968206127538929,0.13471580822714366
주먹밥,19,32,4,11.469527064374292,0.21458524740099688,0.13318820919033814
아침에,15,15,4,14.080734266706724,0.36341370621882635,0.11769135994424593
밥반찬,5,5,5,16.130725397327723,0.7601769683140839,0.1047095198634134
남편이,15,15,4,13.969638284927523,0.3439521481927471,0.10074627043955788
100g,8,10,6,16.515305387778547,0.40061718447481315,0.09764848122839506
다양한,15,15,4,13.332093790864269,0.44327557764330344,0.09736539022612042
있어,11,16,0,12.503797590241472,0.76198011665085,0.09404657216978968
집에,19,21,2,10.191138229252672,0.6057187076305827,0.09373119820083196
참기름,13,14,5,13.541832273817915,0.526526234752433,0.09229686588235345
식단도시락,11,11,2,14.020032775191684,0.5960120708991548,0.07966571320669226
소세지,11,16,4,15.30144784199038,0.25995651929219415,0.07944556778348504
맛있어서,10,10,5,14.209613770688032,0.6397849134032374,0.07903953451824035
집에서,10,11,3,12.238625691627266,0.9240137935971713,0.06916477451752975
100g당,5,7,4,17.412463810364343,0.40133503775211915,0.06217598494844851
치킨,9,14,5,13.699281661637773,0.5923477553855184,0.03929445417052517
오일,5,7,5,16.673885610406245,0.4698017036536563,0.03753179749452555
한번,13,13,4,13.489267863507102,0.4316472120498506,0.03543685270026189
diet,10,10,2,15.058149061569367,0.3834965585754154,0.028338727468911043
챙겨줬어요,6,6,6,17.003785087909574,0.36474494159981435,0.02818425947218667
lunch,27,28,4,8.715636349319809,0.11212498734861409,0.027283368196119595
챙겨,8,9,3,13.25449155091376,0.8097356213807466,0.025635658843592535
일상,21,21,2,9.956973668440536,0.3799817041281304,0.02286189923177149
따뜻하게,15,15,3,11.775079773048446,0.5302108711121647,0.01987895331838535
메뉴로,12,13,0,11.847619544505376,0.70377494651752,0.010508065515217976
있어요,18,18,3,10.582174525513931,0.4715252998506675,0.007502326252631718
되는,9,9,3,13.64272518733095,0.6483879205951947,0.006334140487332329
1T,5,12,6,15.467915262993731,0.46816049560401485,0.0005022073568519726
달걀,5,6,4,16.324999605537243,0.4616254806993948,-0.002866911634445038
탄단지,8,8,2,15.365056520495964,0.3995570558868063,-0.010102537982390896
중식,7,8,5,14.710250204668014,0.5597209399592569,-0.011214676030632281
목요일,15,15,6,12.067239546615422,0.39813628633218345,-0.017075414878374565
가득한,13,13,4,12.753708960012771,0.43624557828764915,-0.01739241085321745
요리레시피,14,14,4,13.410888860550607,0.2485643796302266,-0.017609791741019225
즐거운,10,10,4,14.428765409726608,0.3797753172243019,-0.02027035053441982
오랜만에,18,18,6,10.251760073799451,0.46305386504251195,-0.020915830888259285
회사,7,7,2,14.316296328954913,0.623877902269671,-0.02279984263276645
역시,10,10,6,13.750894168863038,0.4844129935801258,-0.024295799361640863
국물,7,11,3,14.357007370672259,0.5156809533239424,-0.02495621235726654
완전,22,25,3,6.929901528648668,0.6276918823471728,-0.026335703202411645
싶은,11,11,3,12.109064491409764,0.6375719150801005,-0.04441090686367871
다이어트레시피,20,20,2,9.056581765295281,0.4549432204096053,-0.04520573421007441
두부조림,8,13,4,14.5602095583453,0.3296049766734574,-0.047593706543486734
들고,9,11,3,12.797603615834692,0.6124862328184452,-0.051216625787065845
김치,12,12,4,12.99321139007586,0.39043145927570994,-0.054144982810929485
주말에,13,14,2,11.643216027598342,0.5149037657991129,-0.054515169887041866
예쁜,7,8,3,14.878097602146658,0.4301747981022538,-0.056318374274498643
돈까스,6,11,5,14.535810185627051,0.46319020759669466,-0.058473245247867456
진한,5,7,4,15.609484455673456,0.4244953997361056,-0.06202894139791246
매콤한,11,11,0,12.338713400783544,0.5574183447064814,-0.06293290663614166
보고,10,10,4,14.003750199766035,0.3416125007137235,-0.06895350618965802
obento,22,22,4,10.179101200516778,0.05890220224689621,-0.06915072308795343
있으니,9,10,4,13.759148480562851,0.42798139658063356,-0.07228922064508246
단백질도시락,8,8,4,14.152539853916837,0.46117899953626185,-0.07314856803160265
재료는,13,13,5,12.050198218441063,0.42757258726911407,-0.07373424626406097
간식,13,14,5,11.130914411089572,0.5571163219825639,-0.07395702360191743
삼겹살,7,9,5,14.492100888802803,0.42754306476927456,-0.07555162677251001
컬러,5,6,3,15.327307022865885,0.4594297161243529,-0.07827428725389735
후딱,9,9,4,13.985272973682232,0.4003405960413572,-0.07844891121795666
직장인점심시간,11,11,4,13.421324696401735,0.3336701146492289,-0.0816962770100501
양파,9,10,4,13.377738181255781,0.4648615200249933,-0.08433822650626498
감성,5,8,3,15.329679958640833,0.3968606866719635,-0.08446195185846894
건강한,9,11,4,12.872675268171454,0.5250599000119341,-0.08450563756946894
든든한,10,11,0,12.350996209506182,0.5572458728877164,-0.08560023068851291
볶음밥,16,17,4,11.402237956896613,0.2533875675205273,-0.08609985796330319
3분,5,5,3,15.362538022184633,0.4533137291896479,-0.08910035180078986
엄청,15,16,0,9.916246951786139,0.5604175347565137,-0.09462457306749847
피크닉도시락,12,12,0,11.731904811292912,0.4910249541864268,-0.10349529002614921
시간이,15,18,2,9.77118674112458,0.5063326615200962,-0.1080371812783707
벤또,7,7,4,14.977721543761238,0.31997367854920106,-0.10864039076224542
저녁메뉴,7,7,5,13.843600769708894,0.5089258543742906,-0.1091979841642077
만드는,10,10,5,12.488653557756797,0.49020566813684646,-0.11588572263207103
나들이,9,12,0,12.968637170208442,0.4140347625186211,-0.11599971582263617
배추김치,8,8,6,14.022417572959391,0.38428459091552936,-0.11706073689731152
청양고추,9,9,0,11.760274171138857,0.6842975608035569,-0.11812837362540973
보온,5,6,4,15.342595404110062,0.3578863674173731,-0.12230292268274442
저당,9,13,6,11.554934245630005,0.6124425923156581,-0.12247494700601973
koreanfood,15,15,1,11.552286660547944,0.23545645532496395,-0.12785666203594911
끓인,9,9,3,12.896404676797248,0.45700082612183,-0.13447753165846316
아빠가,8,8,3,13.332526552976073,0.4593397075933126,-0.13514200662346743
뚜껑,8,9,3,12.772827869165976,0.5259375582704113,-0.13653874277563718
유부초밥,16,17,0,10.037987658410655,0.3624599407754733,-0.13935842157732103
제대로,7,8,3,13.077607434590313,0.5412418951629339,-0.1412343387918459
갑자기,10,10,4,13.13266376024713,0.32114290712448396,-0.14304439825864915
밥이랑,5,5,3,14.650617435129568,0.44131518505408956,-0.14754887983847978
신혼부부,9,9,4,13.911690366110404,0.2441072190577865,-0.15343515351224857
메뉴는,13,14,0,10.220216582529163,0.5260112758537924,-0.15573396853634272
신선한,6,7,0,13.371469463336428,0.5208270660270111,-0.16263325161542136
먹으니,6,6,3,13.715095054006339,0.46697033436682855,-0.17168857930955794
저녁,16,17,2,9.410839022349668,0.38814194121579204,-0.17472141461618765
직접,5,5,3,14.44311890719349,0.40667432051347957,-0.1784380279486026
food,13,13,1,11.818674701017855,0.22909337585054537,-0.17929539410201273
밑반찬,13,14,1,11.845730291113085,0.20030541426538667,-0.1793487844960729
기분,10,10,0,12.164820875686106,0.400437025817414,-0.1799760287669066
배달,8,8,4,13.112934214391043,0.3925632437891496,-0.1812281587257792
모두들,9,9,4,13.003682772515656,0.33361253260477286,-0.18136069297483584
등장할,5,5,6,15.04453237636433,0.2989382532243055,-0.18149478846263842
월요일,14,15,6,9.02813809981524,0.5856190871978466,-0.18391041649356754
플레이팅,5,5,4,13.945117251777004,0.46334463418697197,-0.19038186846640687
맛은,7,8,0,12.80034797557769,0.4619338515580145,-0.19719699953222866
휘리릭,6,6,4,14.115085068784246,0.3341133496883313,-0.2009465440224839
채소,6,6,4,13.755936148374758,0.3926290633529624,-0.2017107012417079
매일,16,19,2,8.363023194693913,0.44797966326182537,-0.20480629174174986
만들었는데,7,7,0,12.664865350517779,0.4848424155813101,-0.2078478803755017
cook,9,9,1,13.10346398205818,0.25696197899011197,-0.20801294894459155
쌀,8,8,0,11.324714500287806,0.6269293239443,-0.21038203539012296
이거,10,10,2,10.737436011746867,0.5667861904848934,-0.2124663612740753
따라,12,13,4,11.366498613484747,0.2812933303629683,-0.2133159905454054
버섯,9,10,4,12.747638206358156,0.27817711095338815,-0.21438764356261422
들기름,8,8,4,13.476741955382877,0.25176697609365417,-0.21671702662005643
cooking,10,10,1,12.68143576722728,0.22032783578124232,-0.22155249524032783
맛을,7,7,0,11.703372827247055,0.6115543429127248,-0.22321304964984223
단백질식단,6,11,4,12.720266406923344,0.3550809323067603,-0.24200775014378992
도먹걸,12,35,4,8.074321194507187,0.23135427108709855,-0.24499130759099597
