token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
플레이팅,5,5,3,12.786741056883091,0.37617910930574927,-0.20765005018762786
위한,11,11,3,9.893045432756523,0.27270283752437635,-0.21024007361955635
오도완,8,8,3,12.043580035669892,0.21367720014999167,-0.21151263383072894
제육볶음,7,8,3,12.119938600918584,0.25227807224092075,-0.2165203103443411
배달,8,8,3,11.15612842696652,0.3353114969620573,-0.2165613151739939
보온,5,6,3,13.212739698673985,0.2579502896099346,-0.22008807068475206
참치,7,9,3,11.83253776071999,0.24143152577394586,-0.22860903265305244
등장할,5,5,5,13.29086959915336,0.25511994951187567,-0.22863184968955835
청양고추,9,9,5,8.405656325878256,0.6197889012893564,-0.23409857399953385
모두들,9,9,3,10.5522493677255,0.28941293455023037,-0.23848479081628776
귀여운,10,10,3,9.543265044573953,0.3464162524146172,-0.24096758297335405
훨씬,6,6,6,9.974611502570944,0.6296030611799479,-0.2436695018460653
채소,6,6,3,12.211288866592254,0.29242159365750714,-0.24499983808631104
그런지,7,8,1,10.32330974847247,0.4539923141925744,-0.2471803423232059
예쁘게,9,9,3,11.301205848480517,0.1482493546012808,-0.2518997677773629
밥도,5,5,6,12.11153242359495,0.3793041419999464,-0.25253239591204024
컬러,5,6,0,12.080003130022156,0.34324403121870933,-0.2586417130847868
해야,5,5,1,11.535888914816338,0.43732602389284786,-0.26538872725964446
집밥그램,12,12,3,8.746573315258708,0.23402746826662676,-0.2660680383977257
가을소풍,14,17,3,7.749770620646479,0.12339112980980592,-0.2662786024362607
감성,5,8,0,11.908643827634698,0.2969797005838289,-0.26642216289413695
스팸,11,15,5,7.8026783246121445,0.35096168158741664,-0.26729572089087555
밥을,9,9,3,10.150787612288013,0.2770576175141531,-0.2716942594357231
보내고,6,7,3,11.794049119688612,0.26635882518407566,-0.272978852109801
계란장조림,5,5,3,12.370592457253853,0.2927421914324751,-0.27449160095468395
화이팅도시락,7,7,3,11.652978279660168,0.2171997708824417,-0.27725611645560033
만들었는데,7,7,4,10.34801205757429,0.4082817938777894,-0.27906994119651185
귀엽게,5,6,4,11.789427643720003,0.34198199759344977,-0.2791532888782463
오후,10,10,1,9.422993323110086,0.274923749831906,-0.2820309655148393
예쁜,7,8,0,10.83218105396414,0.28430476389877907,-0.29015598462089837
