token1,token2,co_docs,PMI,NPMI,PHI
recipe,밑반찬레시피,6,4.815228477622958,0.9436239204137845,0.8651421548001417
동물복지,큐브닭가슴살,6,4.815228477622958,0.9436239204137845,0.8651421548001417
recipe,cookstagram,6,4.815228477622958,0.9436239204137845,0.8651421548001417
recipe,레시피밑반찬,6,4.815228477622958,0.9436239204137845,0.8651421548001417
recipe,일주일반찬,6,4.815228477622958,0.9436239204137845,0.8651421548001417
recipe,요리영상,6,4.815228477622958,0.9436239204137845,0.8651421548001417
재료는,도먹걸,11,4.24270929882737,0.9435005129435917,0.8791850176582726
재료는,집밥그램,11,4.24270929882737,0.9435005129435917,0.8791850176582726
식사기록,식단공유,10,4.314453202559788,0.9395412438957205,0.8688715716914356
큐브닭가슴살요리,닭가슴살레시피,5,4.948759862742169,0.9363372779118774,0.8442931701903921
닭가슴살요리,하림,5,4.948759862742169,0.9363372779118774,0.8442931701903921
닭가슴살요리,닭가슴살레시피,5,4.948759862742169,0.9363372779118774,0.8442931701903921
동물복지닭가슴살,하림닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921
동물복지닭가슴살,동물복지IFF큐브닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921
동물복지닭가슴살,하림,5,4.948759862742169,0.9363372779118774,0.8442931701903921
동물복지닭가슴살,닭가슴살레시피,5,4.948759862742169,0.9363372779118774,0.8442931701903921
닭가슴살요리,하림닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921
큐브닭가슴살요리,하림닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921
화이팅도시락,온더테이블,5,4.948759862742169,0.9363372779118774,0.8442931701903921
큐브닭가슴살요리,동물복지IFF큐브닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921
큐브닭가슴살요리,하림,5,4.948759862742169,0.9363372779118774,0.8442931701903921
닭가슴살요리,동물복지IFF큐브닭가슴살,5,4.948759862742169,0.9363372779118774,0.8442931701903921
단백질식단,신혼,5,4.920588986548623,0.9310071664772842,0.8323139653414882
큐브닭가슴살,닭요리,5,4.920588986548623,0.9310071664772842,0.8323139653414882
큐브닭가슴살,닭가슴살도시락,5,4.920588986548623,0.9310071664772842,0.8323139653414882
닭요리,닭가슴살도시락,5,4.920588986548623,0.9310071664772842,0.8323139653414882
cooking,cook,8,4.474301900082327,0.9291982513985112,0.8417644550571177
회사도시락,도시락싸는아내,7,4.592084932663736,0.92792639661563,0.8353784428970757
식단기록,식사기록,11,4.1686013271196956,0.9270202630856237,0.8466885919071687
재료는,반찬스타그램,11,4.162666591634192,0.9257004870697876,0.844100458063497
cook,recipe,7,4.563914056083615,0.9222338843085172,0.8234525113493057
한식도시락,집밥일기,13,3.9873487192063197,0.9209251617266512,0.8402304910543733
cook,cookstagram,6,4.697445444221596,0.9205423806170919,0.8152471592609056
cook,밑반찬레시피,6,4.697445444221596,0.9205423806170919,0.8152471592609056
cook,일주일반찬,6,4.697445444221596,0.9205423806170919,0.8152471592609056
cook,요리영상,6,4.697445444221596,0.9205423806170919,0.8152471592609056
cook,레시피밑반찬,6,4.697445444221596,0.9205423806170919,0.8152471592609056
집밥요리,집밥메뉴,16,3.77838080070354,0.9166196661380746,0.8390060896041758
식사기록,저당파로밥,8,4.409763379621262,0.915795248717989,0.8148268520208813
예쁜도시락,주세요지니벤또,8,4.409763379621262,0.915795248717989,0.8148268520208813
Lunchbox,foodfoodphotography,12,4.032469153947363,0.9144411610589298,0.8255242959870676
Lunchbox,instafoodobentagram,12,4.032469153947363,0.9144411610589298,0.8255242959870676
Lunchbox,lunchfoodstagram,12,4.032469153947363,0.9144411610589298,0.8255242959870676
동물복지,큐브닭가슴살요리,6,4.661077800695012,0.9134155374111582,0.800283128798554
동물복지,닭가슴살요리,6,4.661077800695012,0.9134155374111582,0.800283128798554
동물복지,동물복지닭가슴살,6,4.661077800695012,0.9134155374111582,0.800283128798554
recipe,예쁜상차림kimchi,5,4.815228473596821,0.9110722780137279,0.7893609005800591
단백질도시락,영양성분,5,4.815228473596821,0.9110722780137279,0.7893609005800591
recipe,yummyfood,5,4.815228473596821,0.9110722780137279,0.7893609005800591
단백질도시락,쉐이크도시락,5,4.815228473596821,0.9110722780137279,0.7893609005800591
단백질도시락,근육,5,4.815228473596821,0.9110722780137279,0.7893609005800591
단백질도시락,근육량늘리기,5,4.815228473596821,0.9110722780137279,0.7893609005800591
동물복지,하림닭가슴살,5,4.815228473596821,0.9110722780137279,0.7893609005800591
동물복지,동물복지IFF큐브닭가슴살,5,4.815228473596821,0.9110722780137279,0.7893609005800591
단백질도시락,추천메뉴,5,4.815228473596821,0.9110722780137279,0.7893609005800591
단백질도시락,단백질함량,5,4.815228473596821,0.9110722780137279,0.7893609005800591
동물복지,닭가슴살레시피,5,4.815228473596821,0.9110722780137279,0.7893609005800591
단백질도시락,냥집사,5,4.815228473596821,0.9110722780137279,0.7893609005800591
instafood,mamagirl,7,4.496774754124566,0.908666990086896,0.7960943623504901
instafood,instagood,7,4.496774754124566,0.908666990086896,0.7960943623504901
