node,node_df,node_tf,node_cluster,node_centrality,node_svd_c1,node_rank
도시락싸기,28,28,6,12.37841206156507,0.22985114000141244,0.7745743400472503
도시락스타그램,35,35,1,7.622002636992966,0.3236257953238776,0.7697379978444041
식단일기,11,11,7,19.99210186646014,0.5473816068220907,0.7618689085033818
바프식단,6,6,7,23.048910945171727,0.5211627159120158,0.7602680206495984
식감이,7,7,4,20.207818169027746,0.8585535236864188,0.7574727166504612
먹어도,17,18,4,14.551303875174433,0.8039753915969318,0.7560519984280243
설탕,9,9,4,20.463488669427306,0.633382087344683,0.7530953003464964
점메추,10,10,8,20.982080347138332,0.4614609716205375,0.7509352122106411
단백질,12,13,8,18.382584011029337,0.6091721085918527,0.7311080087373276
있어요,18,18,6,16.43794114031459,0.3874093732429853,0.7244469834386726
식단공유,11,11,5,19.985702650496897,0.44887051468628797,0.7162084003488233
100g당,5,7,8,22.54123590640844,0.5028074746390626,0.7010660499543605
소금,7,9,4,19.86668235569363,0.7049878056896381,0.6883981303899371
소풍,38,45,2,3.782663160321731,0.25254760882975785,0.679182858390393
lover,31,31,6,10.63213147513519,0.005098427875892098,0.6712848064647169
맛있는,30,33,2,5.386122833572479,0.702811607399392,0.622762963086222
저당파로밥,8,8,5,20.324695318798568,0.40617706094792366,0.5985642983639637
바르닭,9,11,7,18.477740676703135,0.513257159685446,0.584628951827127
직장인,31,32,7,6.771602970970504,0.348390725071986,0.5721124324470593
소스를,5,6,4,18.936626655203703,0.7897571691064331,0.5686804209875256
간단하게,21,22,5,9.850217233940638,0.7400470789015714,0.5609942575908912
감자,9,12,7,18.06776782928635,0.49592776459012083,0.5606766192705833
남은,30,30,0,5.981891423306387,0.5349692035066427,0.5494804295296626
직장인점심,23,23,0,11.204148867551634,0.3583491550466824,0.5487938507304948
집에서,10,11,4,15.47702166235361,0.8187799280939911,0.5434662110744233
후추,8,9,4,17.62267892750991,0.6659496145529663,0.5418848276483433
계란말이,17,20,6,14.231529790017433,0.2956175115951228,0.5256273067250677
먹은,12,14,4,14.995734039519697,0.6364525782245967,0.5199416450071455
집밥도시락,20,21,0,11.782917689866869,0.42291811464232104,0.5097131063368555
집에,19,21,7,11.292332981281245,0.5121129908910829,0.48846208449945716
양념,11,12,4,14.975872735100246,0.6864408158107881,0.4883286490137897
집밥요리,19,19,0,12.25142049464444,0.4112371543894069,0.48386740485410557
남편,21,24,8,9.434535592762346,0.5477077349967737,0.46892271216731124
부드러운,11,11,4,14.60894014743349,0.7212424142616225,0.4660976440876064
집밥메뉴,19,19,0,12.018496360166031,0.39147053705694246,0.4585445389263604
계란,22,27,6,9.714808696803868,0.33638283560182497,0.45725870842814414
고구마,6,9,7,18.94663860004805,0.36438596120493266,0.4399192762124304
일상,21,21,7,10.631864967476282,0.36030334076433024,0.42863102728922636
밥반찬,5,5,4,17.105887102094428,0.7688268732935235,0.4187439897613455
따뜻하게,15,15,6,13.843438004743039,0.37729888492763286,0.41709541300335673
동물복지,8,16,3,13.778434275697139,0.784389598344781,0.4162718966473031
한식도시락,17,17,0,12.432333446154226,0.3869215113630196,0.4041959507379918
닭고기,5,8,4,15.978410394568142,0.809185761149571,0.3964190128069719
단무지,13,14,5,14.114303248479748,0.42111907027804546,0.38757640975208046
참기름,13,14,4,13.417920001155387,0.5253829984868716,0.38684605578570636
diet,10,10,7,16.27565740264093,0.38163657734001233,0.38594324634183935
lunch,27,28,6,7.852002307958744,0.10159705775189334,0.371951059132371
주먹밥,19,32,6,9.770089154155041,0.1682394242955796,0.3630754991131151
다이어트레시피,20,20,7,9.417235737606395,0.4656432929607608,0.35167138665688064
없는,17,19,6,11.760417587635988,0.31274463391233215,0.3484811507269468
오일,5,7,4,17.30476265870169,0.529755408808558,0.3480996288293488
큐브닭가슴살,6,11,3,14.612240696267518,0.7212570983596022,0.3265227600594875
주말에,13,14,7,12.673374884112969,0.5046641709808141,0.32539171305922765
집밥일기,14,14,0,12.935306902608502,0.38011871758451876,0.3144652404677901
돈까스,6,11,4,15.632320338731603,0.5319409233383593,0.310799762845849
가을,17,22,2,9.201228462757395,0.5304744200614294,0.3076780716591849
치킨,9,14,4,13.174964917878254,0.6099046138922779,0.29683945233466924
큐브닭가슴살요리,7,7,3,14.456945724393572,0.7144118113105136,0.2900922926258206
닭가슴살요리,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205
동물복지닭가슴살,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205
점심메뉴,19,20,6,10.234534189509258,0.26440503008520566,0.28836657461832865
양상추,5,5,4,16.703855905075876,0.5451520704838313,0.28803437254238
obento,22,22,6,9.91992306778766,0.062465656723541235,0.28282742130731614
소세지,11,16,6,13.8363486570878,0.2741903561969743,0.2700312655483855
탄단지,8,8,7,15.875859919046004,0.3594900338006526,0.26675272852617044
재료는,13,13,4,12.25911479713851,0.4626313066271431,0.2645937564515714
만드는,10,10,4,13.130663583158828,0.5879374827049538,0.2612121794738344
중식,7,8,4,14.826749676178139,0.5621269522230974,0.2586018368688917
양배추,14,17,6,11.810591119229494,0.3081890752671148,0.24079534509892625
닭가슴살도시락,6,6,3,14.112828877327424,0.7299769545473334,0.2326616654153842
직장인점심도시락,21,21,1,8.602605678764055,0.2363983412777787,0.23018579655119886
삼겹살,7,9,4,14.736481760887314,0.4786105796921267,0.22657635169288493
뿌려,5,5,4,15.636057710868148,0.545633693929707,0.21375798179510594
100g,8,10,5,14.515088464040437,0.3481041094277316,0.19179773226284932
치즈,18,21,6,9.021512550850225,0.26959628720698425,0.19076168112023764
koreanfood,15,15,9,11.547284003476404,0.23075335294905927,0.18963822637121563
닭가슴살레시피,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
동물복지IFF큐브닭가슴살,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
하림닭가슴살,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
아침에,15,15,6,10.882402402019498,0.3159636037950144,0.18236051181469257
닭요리,6,6,3,14.112828877327424,0.612553526114295,0.17876733872437262
먹스타그램,20,20,7,8.055608682731581,0.28665004168869035,0.17452099586881326
남편이,15,15,6,10.679583738615325,0.3167926978483087,0.1685909252376891
매일,16,19,7,9.137604178551072,0.3673198198498765,0.16258065112136422
하림,5,8,3,13.989223365084955,0.6013771774060483,0.16225993485270662
1T,5,12,5,14.429224988210322,0.41048809176210915,0.15576102804177727
요리레시피,14,14,6,11.403517998949228,0.2589065448379871,0.15196313506412473
따라,12,13,6,12.302948425666726,0.255339248679532,0.14454782244819037
휘리릭,6,6,8,14.938181845968886,0.4102660515236628,0.1435052866270668
목요일,15,15,5,9.86847934228206,0.37515913225545444,0.13879101494997018
회사,7,7,7,13.649956101566978,0.507130796856075,0.13865412802969368
시간이,15,18,7,8.931164855665818,0.42861494836978736,0.13574430345436653
저당,9,13,5,11.180177822879568,0.5835712862953464,0.1329780075807391
