node,node_df,node_tf,node_cluster,node_centrality,node_svd_c1,node_rank
제품을,7,7,6,9.473199789282942,0.9999999999999589,0.6163166592690222
하나씩,13,13,5,9.500060494090922,0.30997719412089786,0.6101006465176353
발생하지,3,3,0,15.96706125885034,0.12572540569507357,0.6029474075235622
제품이에요,4,4,5,13.427580285424897,0.5147900013393456,0.6001548249377167
젤리,12,13,1,9.702918468122105,0.32817224145495316,0.5999833273625786
일반,5,5,5,12.658188862179566,0.5534873599332811,0.5987665930110826
간편해서,6,6,5,12.824552178322923,0.40368892757908503,0.5964836382099488
알약이,6,6,5,11.849897177972268,0.5965778167580779,0.595694390416487
독일,6,7,1,12.718350169787653,0.38434395884776834,0.5927819164346046
며칠,4,4,1,13.91171215141338,0.4026706150511489,0.5923944299069218
집중력도,4,4,1,14.117129503402868,0.3554858697455248,0.5892954396880392
최선을,3,4,0,15.584641818186816,0.1301583629136036,0.5835809774461724
영양제를,6,6,5,12.183372854810168,0.49965316283267464,0.5805026995365271
내용은,3,3,0,15.512886100483758,0.1637827252755602,0.57667055995442
구미로,6,6,6,10.399128353089852,0.7929441309914981,0.5491526950721566
처음,10,10,4,9.81772322333591,0.45010273263338657,0.5438070108182159
액상이라,6,6,1,13.18887174622262,0.1896304611887267,0.5258106412422868
멀티,3,8,6,11.797689127933266,0.5922989885911899,0.5031292014397782
맛있고,5,5,1,13.105406512596765,0.24925468632055864,0.49128226308571515
깔끔하고,20,20,1,5.290569017720013,0.09287731517306815,0.47375706778345644
맛은,10,10,6,8.517768249597319,0.5636453719367167,0.47090307226334527
젤리로,4,5,4,11.84138590598224,0.5197449483977328,0.4609764948773466
미네랄,6,7,6,10.17402854881178,0.6249141136840994,0.45926020432427284
하루에,9,9,6,9.263600700865279,0.5001024719736604,0.4575205109274253
부담이,3,3,4,12.241533363975767,0.5590678639271848,0.4479753082499865
해당,3,3,0,14.181045710969373,0.13343768715887513,0.4286533864999697
컬리입니다,3,3,0,14.181045710969373,0.13343768715887513,0.4286533864999697
들어있는,5,5,6,10.353905808217306,0.6229046719999739,0.4036247446519293
점에,3,3,0,12.30789404103703,0.4521860253138325,0.40116189028600796
솔가,9,11,1,9.909537217820695,0.18504086919122972,0.39756934246979053
젤리를,4,5,6,10.401990750531118,0.6687538253252449,0.3918942149594162
부드러운,3,4,4,11.226323208297485,0.5996708084484971,0.38357215629650454
섭취,7,7,4,10.086192668196015,0.4037034935492476,0.37935846547812435
가격이,10,11,3,8.348840540120188,0.36332541215703235,0.37047108990243566
적당히,3,3,4,11.287443293447723,0.5869956132719323,0.3667694774958025
더욱,3,3,0,13.38499152864343,0.15534467065587027,0.36020123098686974
치아에,4,4,4,10.991531956065156,0.517022111651699,0.3582823657475408
알약,9,9,6,8.202797004977484,0.5096200821430893,0.3564666712231275
맘에,4,4,3,10.67103273194327,0.5643162678830311,0.34995698954723164
저에게,4,5,4,10.442330377293676,0.5692186779693846,0.3461580572061054
컬리가,8,8,0,10.239202610408174,0.17496151549035674,0.3362778566648665
평소,4,4,3,10.671032731943273,0.5289340865674418,0.3322686225302933
충분히,4,4,6,10.402177278381204,0.5794331894678757,0.33069678052907514
포함되어,4,4,3,10.489478863704331,0.5535170547526569,0.32644877326955046
굿굿,4,4,3,10.671032731943273,0.5061088791560567,0.3208577758578064
고객님께,3,6,0,12.598051706437243,0.13057592579654045,0.3190117270825963
우선,3,3,6,11.153480269119813,0.5149502287433584,0.3173899306945915
식감이,3,3,4,11.14776917228452,0.5125752842656219,0.3156329768965692
새콤달콤,4,4,3,10.933241029787904,0.44303175108969867,0.31547854012722293
아이들,9,10,1,8.905812150797036,0.24717380890289928,0.31194993754840133
모양도,3,3,6,10.962213911421708,0.5366005791008611,0.3091352072587692
느낌이에요,4,4,1,11.132234008521035,0.38921283418888436,0.30842216328398775
중에,3,3,3,11.212524129495002,0.47524779671199285,0.3034312146989347
왠지,3,3,3,11.403790486911776,0.4317077735538611,0.3007427867242329
자고,3,4,1,11.762896714946407,0.32031206706174875,0.2974358500937265
손이,3,3,3,11.212524129495002,0.4586168451700583,0.29511701914126726
적당한,3,3,1,12.123121899279704,0.26980356606139305,0.2915542461364321
함량도,5,5,3,10.424223034937164,0.3781498665115967,0.28828011008417953
커서,3,3,3,11.212524129495002,0.44320331258261686,0.28741143934666935
고객님,3,4,0,12.598051706437243,0.1305759257965404,0.2858865315145167
아무리,3,3,1,11.84038817432361,0.31025878357196707,0.28357691962883674
약간,7,7,4,8.477674777967142,0.5311070205009497,0.2826057000928408
저에게는,3,3,6,10.963992459694179,0.458905429397698,0.2704710179356065
후기입니다,3,3,6,10.791271331755773,0.4920665320031356,0.26982061428914417
통해,3,3,0,12.598051706437243,0.1305759257965404,0.2693239337304769
맛있다고,5,5,6,9.86097446789405,0.4479564802218155,0.26699572791527937
중이에요,4,4,1,11.216959311341386,0.28691869403548564,0.2657340564418795
구미,5,7,6,9.507388571327793,0.4410461665155629,0.26139719084778473
설탕,3,3,3,11.403790486911776,0.35113332382229245,0.26046176429863455
냄새가,3,4,3,11.212524129495002,0.35424138709856456,0.25949992247791576
착해서,3,3,3,11.39516744639532,0.350799364034112,0.2594346882920393
나온,3,3,3,11.212524129495002,0.3840878225689662,0.2578582449175035
하겠습니다,3,3,6,10.791271331755773,0.4679342683480455,0.25775634010905896
비타민으로,5,6,1,10.2839637340366,0.3105151567723643,0.2570401246784118
이것저것,4,4,3,10.48947886370433,0.40558993366798957,0.25249659982478256
품질,3,4,0,12.30789404103703,0.11022294836557249,0.24676927314559924
함량이,4,4,1,11.033650000032221,0.27591005116775863,0.24194604135966433
편인데,3,3,6,10.791271331755771,0.42303710624774993,0.23531121514161923
