token1,token2,co_docs,PMI,NPMI,PHI,src_node_df,src_node_tf,src_node_cluster,src_node_centrality,src_node_svd_c1,src_node_rank,dst_node_df,dst_node_tf,dst_node_cluster,dst_node_centrality,dst_node_svd_c1,dst_node_rank
꾸준히,마그네슘,6,1.4490382395928032,0.2914323577139779,0.13793781385859982,61,65,4,5.152165130790909,0.5669381130608858,3.0596265092851325,20,20,5,9.122239370401752,0.5873299515948545,1.1031426791248977
비타민,해서,9,1.2648968463075803,0.2769850951438267,0.1491300084114198,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,20,21,4,11.291992525048473,0.7817402256588589,1.4333216650097498
비타민,크기가,5,1.3702573617014955,0.26583983941958894,0.12106215478808054,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,10,10,1,13.410685422235256,0.341931364284172,0.8481166028777619
비타민,처음,5,1.3702573617014955,0.26583983941958894,0.12106215478808054,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,10,10,4,9.81772322333591,0.45010273263338657,0.5438070108182159
비타민,간편하게,7,1.236725969283154,0.25669000587322033,0.12792154956012694,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,16,16,5,9.402647821782907,0.5455652727420932,0.886191436235799
비타민,영양제,9,1.1695866665342454,0.2561142239026212,0.13675961138653112,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,22,25,1,22.86151008607402,0.5014211576480052,2.5923537651166346
꾸준히,영양제,5,1.1714065030792737,0.22726133453278602,0.09895441410093808,61,65,4,5.152165130790909,0.5669381130608858,3.0596265092851325,22,25,1,22.86151008607402,0.5014211576480052,2.5923537651166346
비타민,작아서,5,1.107893097391338,0.2149392744286125,0.09549806366234072,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,13,13,1,4.8356962538930475,0.19448929210433039,0.08710957149950817
비타민,마그네슘,7,1.0135824180541664,0.21037520300000123,0.10295675589647894,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,20,20,5,9.122239370401752,0.5873299515948545,1.1031426791248977
꾸준히,맛도,5,1.0043524185020822,0.19485163380091616,0.08379052900793792,61,65,4,5.152165130790909,0.5669381130608858,3.0596265092851325,26,28,4,7.231893649624308,0.4802861568469399,1.2302610356975152
비타민,믿고,6,0.9647922538674771,0.19404020788836746,0.09026608797623101,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,18,18,1,15.073475631946025,0.43808204588719385,1.510126762347647
비타민,맛도,8,0.8847495462744004,0.18886972837578098,0.09545471535252334,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,26,28,4,7.231893649624308,0.4802861568469399,1.2302610356975152
비타민,컬리에서,6,0.9107250326171361,0.18316614167431222,0.08490352185054834,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,19,19,1,17.58253321476204,0.29648436940979256,1.7456201155636275
비타민,꾸준히,16,0.7251194007788466,0.1816751668977897,0.11182603175417126,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,61,65,4,5.152165130790909,0.5669381130608858,3.0596265092851325
비타민,맛있어요,8,0.6463385228850251,0.13797552286987855,0.0689785308651434,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,33,33,1,10.498164332677208,0.2387202168891974,1.794245440083452
