상품명,1회 가격,평점,리뷰 수,__src__,rating_norm,review_weight,가중 점수
[샐러드구역] 부산/양산 샐러드 새벽 정기 배송 본도시락 20회권,9000.0,5.0,1.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,1.0,0.0003333333333333333,0.0003333333333333333
[9주 식단] 주1회 5팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,10335.55556,5.0,1.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,1.0,0.0003333333333333333,0.0003333333333333333
[3주 식단] 주1회 5팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,10780.0,4.45,11.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.89,0.0036666666666666666,0.0032633333333333334
포켓샐러드 2주 정기배송 주5팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,11300.0,4.8,161.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.96,0.05366666666666667,0.051519999999999996
대전/세종/계룡 샐러드정기배송 2주 패키지 월 수(8팩) 식단 새벽 배달 도시락,9000.0,4.91,351.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.982,0.117,0.11489400000000001
전국 택배 다이어트 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 배송 6회,15840.0,4.75,4.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.95,0.0013333333333333333,0.0012666666666666666
홀리셔스 샐러드 도시락 5종 5팩 정기배송 박스 밀키트 야채,5980.0,4.67,9.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.9339999999999999,0.003,0.002802
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 40회,7920.0,5.0,1.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,1.0,0.0003333333333333333,0.0003333333333333333
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 30회,7440.0,4.5,2.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.9,0.0006666666666666666,0.0006
대전/세종/계룡 샐러드정기배송 4주 패키지 월 수 (16팩) 다이어트 식단 새벽 배달 도시락 구독,8875.0,4.76,34.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.952,0.011333333333333334,0.010789333333333333
부산 양산 울산 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 40회,7920.0,5.0,3.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,1.0,0.001,0.001
부산샐러드정기배송 구독 10회권 새벽 도시락 행사,8000.0,4.92,64.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.984,0.021333333333333333,0.020992
