상품명,가격,평점,리뷰 수,배송비,할인 전 가격,제공 횟수,1회 가격,할인률
[체험팩 맛보기] 샐러드 2팩 닭가슴살 도시락배달 구독,25000,4.77,143,0,32000,2,12500,0.2188
단백질 도시락 밀투고 인기 TOP4 양많은 식단 8팩 [부채살+돈등심+비프함박+포크함박],73000,4.95,21,0,91120,8,9125,0.1989
포켓샐러드 채소만 샐러드 5팩 세트 야채 배달 도시락 다이어트 식단 / 진공포장 세척 간편,18000,4.85,215,0,26000,5,3600,0.3077
단백질 도시락 밀투고 맛도리 TOP3 다이어트 식단 6팩 [비프함박+포크함박+치킨함박],49600,5,13,0,61700,6,8267,0.1961
직장인 냉동 도시락 저탄고지 다이어트 식단 간편 점심 도시락 12팩,56900,0,0,4000,66900,12,5075,0.1495
직장인 냉동 도시락 저탄고지 다이어트 식단 간편 점심 도시락 6팩,30400,0,0,4000,60000,6,5733,0.4933
직장인 냉동 도시락 탄단지 저당 간편 점심 식단 닭가슴살 도시락 6팩,29900,0,0,4000,39900,6,5650,0.2506
시즌3 냉동도시락 반찬 6종12팩 단백질 아침식사 점심도시락배달 저녁 직장인 건강식 2주,56200,0,0,0,65000,12,4683,0.1354
(체중조절식+파스타 9종) 블랙컨슈머 다이어트 체중조절식 5팩+파스타 4팩 간편 냉동 배달 직장인 아침 점심 저염 저당 저지방 식단,41000,0,0,5000,0,4,11500,0
[돈등심 스테이크 닭불고기 볶음밥] 단백질 도시락 간편한 다이어트 식단 직장인 도시락 6팩,58200,0,0,0,72000,6,9700,0.1917
[닭가슴살 스테이크 닭갈비 볶음밥] 단백질 도시락 양많은 다이어트 식단 직장인 도시락 6팩,50400,0,0,0,62400,6,8400,0.1923
포켓샐러드 1주 식단 패키지 4팩/5팩 도시락 배달 전국배송 다이어트식단 점심샐러드,38100,4.88,154,0,46900,5,7620,0.1876
[부채살 스테이크 김치볶음밥] 단백질 도시락 양많은 다이어트 식단 직장인 도시락 6팩,70200,5,1,0,87000,6,11700,0.1931
[포크함박 스테이크 닭불고기 볶음밥] 단백질 도시락 양많은 다이어트 식단 냉동 도시락 6팩,53400,0,0,0,66000,6,8900,0.1909
[비프함박 스테이크 김치볶음밥] 단백질 도시락 양많은 다이어트 식단 냉동 도시락 6팩,56400,0,0,0,69600,6,9400,0.1897
프리미엄 자연 한끼 슈퍼곡물샐러드 식사대용 식단관리 냉동 포케 도시락 200g X 3개,18600,5,10,3500,0,3,7367,0
