상품명,상품가(원),배송비(원),총가격(원)=상품가+배송비,1개당 가격 = 1개 가격 + 배송비,리뷰수,평점,별점(5점만점),리뷰가중치,가중평점,가치점수(가중평점/총가격),가치점수(0~100),가격분위
4구 단백질 식단 6종12팩 도시락정기배송 현미 반찬배달 매일 아침 점심 편의점 양많은,52900,0,52900,4408.333333,67,4.72,4.72/5,0.2,0.944,1.7844990548204157e-05,5.681262296979283,"(41800.0, 56300.0]"
굿스푼 맛있는 다이어트 식단 고기많은 12종 12팩 정기배송 냉동 도시락 배달 직장인,55900,0,55900,4658.333333,14914,4.76,4.76/5,0.6,2.856,5.10912343470483e-05,16.26578073089701,"(41800.0, 56300.0]"
양많은 냉동도시락 6종12팩 단백질 정기배송 직장인 점심구독 아침식사 저녁 벌크업 식단배달,56300,0,56300,4691.666667,165,4.83,4.83/5,0.3,1.449,2.5737122557726467e-05,8.193859426541488,"(41800.0, 56300.0]"
양많은 냉동 도시락 직장인 정기배송 아침 간편 편의점 점심 단백질 블랙라인 10종10팩,52600,4000,56600,5260.0,197,4.77,4.77/5,0.3,1.4309999999999998,2.528268551236749e-05,8.049181510059853,"(56300.0, 95700.0]"
양많은 덮밥 점심구독 10종 냉동도시락 도시락정기배송 단백질 아침식사 저녁 직장인 2주,56600,0,56600,5660.0,79,4.82,4.82/5,0.2,0.9640000000000001,1.7031802120141345e-05,5.422369654575611,"(56300.0, 95700.0]"
[총 6팩 1/2주 간편 식단 구독] 탄단지박스 고단백 냉장 웜프샐러드,58710,0,58710,9785.0,112,4.9,4.9/5,0.3,1.47,2.503832396525294e-05,7.97138477261114,"(56300.0, 95700.0]"
[총 6팩 1/2주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,60910,0,60910,10151.66667,317,4.82,4.82/5,0.4,1.9280000000000002,3.1653258906583486e-05,10.077364060055151,"(56300.0, 95700.0]"
루틴밀10팩 양많은 단백질 냉동도시락 건강식단 벌크업 직장인 탄단지 고단백 헬스 닭가슴살,64540,3500,68040,6454.0,5232,4.8,4.8/5,0.6,2.88,4.232804232804233e-05,13.475866537091028,"(56300.0, 95700.0]"
점심구독 12종 24팩 반찬배달 아침도시락배달 정기배송 한달 저녁 매일 식단 직장인 식사,90900,0,90900,3787.5,66,4.8,4.8/5,0.2,0.96,1.056105610561056e-05,3.362295413214791,"(56300.0, 95700.0]"
저염식단 양많은 6종 12팩 점심구독 저염식 단백질 반찬배달 아침 매일 벌크업 식단 저녁,91200,0,91200,7600.0,26,4.81,4.81/5,0.1,0.481,5.274122807017544e-06,1.679108485499463,"(56300.0, 95700.0]"
굿스푼 한달 식단 도시락 24종 24팩 정기배송 구독 단백질 밥 반찬 간편식 배달,95700,0,95700,3987.5,1233,4.8,4.8/5,0.5,2.4,2.5078369905956112e-05,7.9841340925084765,"(56300.0, 95700.0]"
도시락정기배송 한달 도시락배달 24종 단백질 탄단지 식단 매일 점심 반찬 양많은 건강,97600,0,97600,4066.666667,249,4.84,4.84/5,0.3,1.452,1.4877049180327869e-05,4.736366677818668,"(95700.0, 273000.0]"
양많은도시락 12종24팩 점심구독 도시락배달 한달 정기배송 아침식사 벌크업 매일 저녁식사,103800,0,103800,4325.0,10,4.8,4.8/5,0.1,0.48,4.624277456647399e-06,1.4722189453816208,"(95700.0, 273000.0]"
3찬 한달 24종 도시락정기배송 점심구독 냉동도시락 반찬배달 아침식사 저녁식사 매일 간편,106100,0,106100,4420.833333,261,4.83,4.83/5,0.3,1.449,1.3656927426955702e-05,4.347919752255285,"(95700.0, 273000.0]"
양많은 한달 도시락정기배송 12종24팩 아침식사 반찬배달 점심구독 저녁 벌크업 매일 식단,109200,0,109200,4550.0,160,4.83,4.83/5,0.3,1.449,1.3269230769230769e-05,4.224489795918367,"(95700.0, 273000.0]"
[총 12팩 2/4주 간편 식단 구독] 탄단지박스 고단백 냉장 웜프샐러드,116180,0,116180,9681.666667,134,4.86,4.86/5,0.3,1.458,1.2549492167326562e-05,3.995348526740701,"(95700.0, 273000.0]"
[총 12팩 2/4주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,117930,0,117930,9827.5,380,4.83,4.83/5,0.4,1.9320000000000002,1.6382599847367083e-05,5.2156848493658465,"(95700.0, 273000.0]"
[총 24팩 4/8주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,233280,0,233280,9720.0,209,4.82,4.82/5,0.3,1.446,6.198559670781893e-06,1.973418997228521,"(95700.0, 273000.0]"
"부산단백질도시락정기배송 30회,40회 팔팔식단연구소 새벽 구독 건강식 식단 야채 도시락",273000,0,273000,6825.0,153,4.89,4.89/5,0.3,1.4669999999999999,5.373626373626373e-06,1.7107871720116616,"(95700.0, 273000.0]"
